class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,60,0,20,12,0,0,0,0,0,2682,4736,3862,1846,0,0,0,3976,0,0,0,1520,2374,11516,9480,111258,470,0,0,0,0,58,26,0,0,0,0,0,0,0,0,13124,2,1956,434,76,174,190,6198,1148,2948,2,0,8762,2566,480,380,196,516,86,66,74,0,124340,4,6,4,0,3976,318,107662,3458,na,na,na,na,na,na,na,na,110980,59.53,124340,124340,184970,54,686,12246,123880,13196,1209600,598,0,6,0,5913.6,0,5851.2,6,30,0,2,5512,4674,1388,1508,38,4,0,0,8,12,124340,0,1550,14,36,26,920,430,7650,2294,206,0,22,42,5336,1276,0,0,0,0,6598,70,112,0,0,0,0,0,0,0,0,340,0,0,1100,574,232,66,780,882,0,4,0,0,0,465.5,90,7502,3156,1098,138,412,654,78,88,0,0,0,0
neg,82,0,68,40,0,0,0,0,0,0,748,12594,3636,0,0,0,5244,0,60,0,0,0,23174,18166,23686,1270,0,0,0,0,12,82,0,0,0,0,0,0,0,692,16286,0,280,44,50,1274,866,3362,11102,0,0,0,12564,1756,638,276,172,132,812,308,192,128,46894,4,2,38,0,5244,360,20520,3134,na,na,na,na,na,na,na,na,23320,81.89,46894,46894,48324,68,0,4486,46480,17050,1209600,726,2,4,0,7224.96,0,7768.32,0,42,0,0,4,7064,6200,2452,1246,12,0,0,14,54,46894,0,2202,28,114,350,700,1708,9622,2174,80,0,80,206,7802,1466,0,0,0,0,7918,78,40,0,0,0,0,0,0,0,0,352,0,0,3996,584,200,62,37580,3756,6368,36,0,0,0,2.86,102,10040,3310,1068,276,1620,116,86,462,0,0,0,0
neg,66002,2,212,112,0,0,0,0,0,199486,1358536,1952422,452706,25130,520,0,1891670,0,0,0,77898,110548,3605894,3291610,959756,286536,0,0,0,0,106,340,0,0,0,0,0,24286,681260,2808472,474782,0,22984,894,1162,1304,1856,388700,3424812,123828,23260,0,1662580,667960,387998,226078,161558,148288,154908,220820,147744,210866,4644422,958,7848,3624,0,1891670,47066,692800,265492,336240,194360,245240,na,na,na,na,na,175480,66002.89,4644422,4644422,4608738,22706,2272,95510,1006260,3991552,1209600,126310,0,104,0,3594885.12,0,374649.6,148,720,0,5154,174956,622312,1002504,793938,541734,345896,300806,201500,52,92,4644422,0,24818,964,162660,215004,217930,3038612,322718,6080,14,0,226,572,3593728,1911060,0,284,0,0,3613906,4218,692,0,0,0,0,0,0,0,0,25278,9438,2504,10262714,1278664,109700,19072,9520,4902,4434614,70900,0,0,26002880,2057.84,2158,396312,538136,495076,380368,440134,269556,1315022,153680,516,0,0,0
neg,59816,na,1010,936,0,0,0,0,0,0,123922,984314,1680050,1135268,92606,14038,1772828,0,0,0,1116,2372,3546760,3053176,652616,423374,0,0,7274,0,1622,432,0,0,0,0,0,6388,1091104,2930694,2012,0,3526,904,1426,223226,2663348,1137664,104,0,0,0,1283806,928212,345132,265930,194770,158262,219942,620264,13880,0,4201350,98,238,880,16,1772828,51468,331744,316130,176000,208420,159380,na,na,na,na,na,100120,59816.46,4201350,4201350,4203050,29967.0,26214,51894,562680,4030198,1209600,114684,0,144,0,3387773.76,38633.28,599624.64,0,0,0,0,14308,475410,1109740,1528024,837114,58942,6220,440,1278,1292,4201350,na,6846,810,70090,345884,191284,2454600,926846,33558,280,0,1516,1398,2050280,64066,0,674,0,46,3413978,2924,414,0,0,60,38710,0,0,0,0,27740,33354,6330,0,0,133542,21290,2718360,435370,0,0,0,0,1179900,1541.32,1678,659550,691580,540820,243270,483302,485332,431376,210074,281662,3232,0,0
neg,1814,na,156,140,0,0,0,0,0,0,72,17926,82834,3114,0,0,48978,0,0,0,0,0,97146,89920,12932,5092,0,0,0,0,102,50,0,0,0,0,0,11544,73570,3662,15170,0,126,34,60,58,10768,92898,2,0,0,0,53558,34620,9824,4552,764,294,192,142,0,0,110094,4,4,986,0,48978,1100,7932,4966,na,na,na,na,na,na,na,na,12700,1813.74,110094,110094,113274,364,330,10874,109880,103946,1209600,1832,0,8,0,94319.04,0,9556.8,0,0,0,0,0,6560,77394,17810,1924,230,28,0,2,10,110094,na,144,14,86,5532,1792,30864,63436,1986,92,0,230,178,93820,57312,44,4,0,0,95372,78,36,0,0,0,0,0,0,0,0,538,360,142,0,0,1822,344,2140,394,13664,110,0,0,813740,113.86,52,10216,9958,7646,4144,18466,49782,3176,482,76,0,0,0
neg,174,na,26,24,0,0,na,na,na,na,na,na,na,na,na,na,7396,0,134,0,0,0,22666,19998,14550,788,0,0,0,0,40,124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,37258,2,10,26,0,7396,350,12058,2464,na,na,na,na,na,na,na,na,14280,174.02,37258,37258,38556,53.0,170,3584,36960,17146,1209600,934,0,10,0,12144.96,0,4092.48,0,14,na,na,na,na,na,na,na,na,na,na,2,12,37258,na,na,na,na,na,na,na,na,na,na,na,22,174,11400,3682,0,0,0,0,12438,52,74,0,0,0,0,0,0,0,0,230,0,0,6716,2274,610,126,920,242,8862,20,0,0,0,131.7,56,na,na,na,na,na,na,na,na,na,na,0,0
neg,40202,na,640,606,0,0,0,0,0,0,156074,677848,1122070,906760,99294,19762,1291194,0,0,0,3856,8726,2622432,2281520,436178,312658,0,0,12922,0,622,182,0,0,0,0,0,64538,907464,1942756,67050,0,1942,2602,3064,87822,2325128,559614,1636,0,0,0,839110,625118,262990,220176,206744,190374,216260,399262,21774,0,3062802,558,2806,1584,56,1291194,33824,220020,214184,163100,179880,na,na,na,na,na,na,89240,40201.15,3062802,3062802,3072230,24471.0,1976,61906,639740,2981808,1209600,98790,0,84,0,2620750.08,0,358857.6,0,0,0,0,11612,252700,775890,1112320,776180,48496,4280,330,0,4,3062802,na,2942,416,90180,187776,138974,2220712,331728,9028,52,0,838,424,2555444,738238,0,872,0,52,2656774,1590,92,0,0,0,0,0,0,0,0,17694,26352,4830,0,0,77528,12700,506020,76410,2305784,2646,0,0,1195500,791.64,802,376266,761658,526218,239734,439556,374248,169096,53658,41054,320,0,0
neg,120278,na,2130706432,256,0,0,0,0,0,0,208,61582,3858106,3553512,174722,13728,3242508,0,0,0,0,0,6749710,5825696,1123618,814174,0,0,0,0,374,90,0,0,0,0,0,3722,114864,4107068,3436204,0,2968,1190,1394,1874,33168,7529872,91392,0,0,0,1926556,2400748,1042108,701454,527344,447384,604054,12210,0,0,7874216,2726,3848,378,8,3242508,96516,501852,619894,210360,159340,148640,180680,141800,157420,na,na,114960,120277.48,7874216,7874216,7880232,48233.0,13830,54528,605140,7661858,1209600,318234,2,88,0,6850344.96,0,807766.08,0,1618,0,0,0,15798,954526,4439132,2173196,67492,11138,576,4,12,7874216,na,8270,1012,351672,387756,300810,4551122,2037974,23098,144,0,416,270,6770354,690124,0,2426,0,22,6890130,4936,1114,0,0,0,0,0,0,0,0,50196,49662,22016,0,0,226956,53298,22559560,2430612,0,0,0,0,80277450,1938.02,2248,836724,1682254,1006722,459658,876356,689532,568540,500624,1006628,34820,0,0
neg,14592,0,2130706438,162,0,0,0,0,0,0,90276,773018,236244,15860,4868,0,464694,0,34,0,1882,3066,984644,789062,258990,123842,0,0,0,0,104,208,0,0,0,0,0,0,0,131786,988480,0,1770,998,1658,2204,2640,12470,1098526,0,0,0,489944,348710,137166,65938,26522,17652,13636,10988,5414,4296,1246288,290,36,244,0,464694,13896,68604,189242,242820,na,na,na,na,na,na,na,9640,14592.14,1246288,1246288,1191566,4285.0,328,118416,29200,1122028,1209600,38282,2,126,0,844361.28,0,274802.88,2,432,0,0,35156,540424,443910,80488,16124,3396,760,8,6,10,1246288,0,4870,654,66226,150982,55302,536306,291084,14800,42,0,116,306,852904,303790,0,14,0,0,854044,2352,282,0,0,0,0,0,0,0,0,9958,60,6,814148,152760,19198,4944,4634560,463662,1156514,146,0,0,0,14.8,1400,291606,190418,105024,57398,49152,38256,243268,145144,0,0,0,0
neg,28338,na,2130706432,238,0,0,0,0,0,0,582,311608,1198378,629156,51672,3858,1067710,0,0,0,0,0,1976636,1733700,371848,205258,0,0,14410,0,554,100,0,0,0,0,0,19226,1169890,499636,506502,0,1354,990,2554,9202,137182,2043544,428,0,0,0,568114,435566,168892,132254,118744,135638,313046,323000,0,0,2348762,80,116,388,36,1067710,26524,202512,168768,210600,na,na,na,na,na,na,na,158040,28337.83,2348762,2348762,2319360,19566,1272,111156,1135300,2195254,1209600,80176,2,42,0,1908778.56,0,284365.44,4,280,0,0,0,39456,501328,1054148,561102,34100,4544,576,4,10,2348762,na,2586,348,44090,141000,77248,1168204,741922,19618,238,0,352,330,1889126,66304,0,107980,0,12,1931866,1346,276,0,0,0,0,0,0,0,0,17664,23964,10120,0,0,29992,11814,5280160,549684,143196,7392,0,0,732820,708.7,738,296980,638814,357006,150056,264776,239282,140548,74750,32958,84,0,0
