Customer Number,Customer Name,Address,Type,Sales,Percent Growth
100025,Quest Industry,"Kebayoran Lama, Jakarta",Company,Rp162500000,30.00%
552278,Smith Plumbing,"Pasteur, Bandung",Company,"Rp101200000",10.00%
234775,ACME Industrial,"Kebayoran Lama, Jakarta",Perusahaan,62500000
249000,Brekke LTD,"Pasteur, Bandung",Company,4900000,4.00%
651029,Harbor Co,"Cilincing, Jakarta",Company,Rp12750000,-15.00%
565600,Berkah Jaya,"Antapani, Bandung",Perusahaan,Rp762500000,30.00%
897440,Rafee Ahmad,"Sawangan, Depok",Personal,"Rp12,200,000.00",10.00%
123156,Reza Pratama,"Kebayoran Baru, Jakarta",Personal,50000000,25
138135,PT Berdikari,"Kebayoran Lama, Jakarta",Perusahaan ,Rp9000000,4.00%
748952,Alexander Samiun,"Sleman, Jogjakarta",Individu,127450000,-15.00%
