Customer Number,Customer Name,Address,Type,Sales,Percent Growth
100025,Quest Industry,Jakarta,Company,Rp162500000.00,30.00%
552278,Smith Plumbing,Bandung,Company,"Rp101.200.000,00",10.00%
234775,ACME Industrial,Jakarta,Perusahaan,62500000,25
249000,Brekke LTD,"Pasteur, Bandung",Company,Rp4900000.00,4.00%
651029,Harbor Co,"Cilincing, Jakarta",Company,Rp12750000.00,-15.00%
565600,Berkah Jaya,Bandung,Perusahaan,Rp 762500000,30.00%
897440,Rafee Ahmad,Depok,Personal,"Rp12,200,000.00",10.00%
123156,Reza Pratama,Jakarta,Personal,50000000.00,25
138135,PT Berdikari,"Kebayoran Lama, Jakarta",Perusahaan,Rp9000000.00,4.00%
748952,Alexander Samiun,"Sleman, Jogjakarta",Individu,127450000,-15.00%
